postcode,zone_key,lat,lng
LA3 2QQ,,54.040562,-2.895777
LA3 2QR,,54.041058,-2.901545
LA3 2QS,,54.042362,-2.899038
LA3 2QT,,54.041460,-2.901904
LA3 2QU,,54.042316,-2.900350
LA3 2QW,,54.041052,-2.899926
LA3 2QX,,54.040999,-2.897405
LA3 2RA,,54.041576,-2.897188
LA3 2RB,,54.041293,-2.895380
LA3 2RD,,54.042367,-2.895968
LA3 2RE,,54.044864,-2.898603
LA3 2RF,,54.044609,-2.896658
LA3 2RG,,54.043518,-2.895947
LA3 2RH,,54.045394,-2.898584
LA3 2RJ,,54.045182,-2.899312
LA3 2RL,,54.044663,-2.898996
LA3 2RN,,54.046440,-2.900561
LA3 2RP,,54.043778,-2.903238
LA3 2RQ,,54.044209,-2.895993
LA3 2RT,,54.043056,-2.895189
LA3 2RU,,54.040024,-2.895536
LA3 2RW,,54.046306,-2.900543
LA3 2RX,,54.044835,-2.902527
LA3 2RY,,54.038477,-2.895793
LA3 2RZ,,54.039135,-2.895487
LA3 2SA,zone_3,54.037604,-2.894705
LA3 2SB,,54.035759,-2.895078
LA3 2SD,,54.034870,-2.896174
LA3 2SE,,54.034203,-2.895121
LA3 2SF,,54.035348,-2.893497
LA3 2SG,zone_3,54.038904,-2.893939
LA3 2SH,zone_3,54.037932,-2.894041
LA3 2SJ,zone_1,54.035921,-2.892562
LA3 2SL,zone_1,54.035937,-2.891585
LA3 2SN,zone_1,54.036393,-2.890740
LA3 2SP,zone_3,54.038012,-2.893019
LA3 2SQ,zone_3,54.038276,-2.893773
LA3 2SR,zone_3,54.037497,-2.893359
LA3 2SS,zone_3,54.037401,-2.894151
LA3 2ST,,54.036209,-2.897347
LA3 2SU,,54.037710,-2.897365
LA3 2SW,zone_1,54.035989,-2.890685
LA3 2SX,,54.036232,-2.897867
LA3 2SY,,54.035632,-2.898786
LA3 2SZ,,54.035186,-2.899600
LA3 2TA,,54.034539,-2.899510
LA3 2TB,,54.033844,-2.899923
LA3 2TD,,54.036280,-2.898708
LA3 2TE,,54.037063,-2.898526
LA3 2TF,,54.036706,-2.899465
LA3 2TG,zone_1,54.035320,-2.891206
LA3 2TH,zone_1,54.036182,-2.893743
LA3 2TJ,,54.036719,-2.896427
LA3 2TL,,54.038021,-2.896669
LA3 2TN,,54.038649,-2.898041
LA3 2TP,,54.038440,-2.898327
LA3 2TQ,,54.039232,-2.898146
LA3 2TR,,54.039026,-2.899271
LA3 2TS,,54.038806,-2.899786
LA3 2TT,,54.037949,-2.899049
LA3 2TU,,54.036618,-2.895555
LA3 2TW,,54.039378,-2.899004
LA3 2TX,zone_2,54.036753,-2.894260
LA3 2TY,zone_2,54.036840,-2.893437
LA3 2UA,,54.043328,-2.898448
LA3 2UB,,54.043054,-2.901481
LA3 2UD,,54.042228,-2.896576
LA3 2UE,,54.043008,-2.896746
LA3 2UF,,54.043704,-2.897448
LA3 2UG,,54.043648,-2.897722
LA3 2UP,,54.035810,-2.902668
LA3 2UQ,,54.042532,-2.897927
LA3 2UR,,54.035263,-2.900075
LA3 2UT,,54.034844,-2.900754
LA3 2UU,,54.034770,-2.902340
LA3 2UW,,54.036156,-2.904370
LA3 2UX,,54.035114,-2.903218
LA3 2UZ,,54.036959,-2.901609
LA3 2WD,zone_2,54.037135,-2.892481
LA3 2WE,zone_1,54.037453,-2.888350
LA3 2WF,zone_1,54.038634,-2.887963
LA3 2WG,zone_2,54.037411,-2.891602
LA3 2WH,zone_1,54.036839,-2.888795
LA3 2WJ,zone_1,54.037350,-2.888974
LA3 2WL,zone_1,54.036530,-2.889262
LA3 2WN,zone_1,54.038084,-2.889310
LA3 2XA,,54.023696,-2.905947
LA3 2XE,,54.032476,-2.915680
LA3 2XF,,54.036403,-2.914606
LA3 2XH,,54.030243,-2.917386
LA3 2XQ,,54.071880,-2.866941
LA3 2XR,,54.036018,-2.903634
LA3 2XS,,54.037324,-2.908121
LA3 2XU,,54.037771,-2.906039
LA3 2XW,,54.036205,-2.903852
LA3 2XY,,54.038557,-2.906652
LA3 2YD,,54.042032,-2.902253
LA3 2YE,,54.042103,-2.901292
LA3 2YF,,54.042690,-2.902007
